1,61621;0,017289156;2,48;2,48
1,5558156;0,019230325;2,43;2,43
1,51030786;0,016647429;2,80;2,80
1,47515;0,030276698;2,96;2,96
1,39157891;0,008868944;2,90;2,90
1,31600692;-0,004416586;3,39;3,39
1,25062;-0,042008551;3,47;3,47
1,20861431;-0,023747168;3,50;3,50
1,17980065;0,011705022;3,76;3,76
1,165;0,004136105;3,98;3,98
1,21567597;-0,002840208;4,00;4,00
1,27572846;0,04460866;3,99;3,99
1,3397;0,028455983;3,99;3,99
1,37610609;-0,005573582;3,97;3,97
1,40874301;-0,006953921;3,84;3,84
1,43538;0,003768021;3,92;3,92
1,43081043;-0,004857535;3,85;3,85
1,41862786;-0,021326341;3,32;3,32
1,39945;-0,01889622;3,23;3,23
1,37269188;0,003408813;2,98;2,98
1,34032294;0,007596654;2,60;2,60
1,30311;0,007539112;2,47;2,47
1,23811268;-0,023435297;2,44;2,44
1,17274404;-0,035737329;1,98;1,98
1,11071;0,004786804;1,45;1,45
1,10133989;-0,000153461;2,54;2,54
1,09705999;0,008636825;2,02;2,02
1,09592;0,036656012;1,49;1,49
1,06013372;0,012576125;1,98;1,98
1,02802955;0,004926271;1,73;1,73
1,0021;-0,008869547;1,17;1,17
0,99953589;0,019882291;2,00;2,00
1,00630914;0,015944477;1,88;1,88
1,02309;0,025815842;2,26;2,26
1,12450319;0,004027945;2,61;2,61
1,22809596;-0,006169271;2,33;2,33
1,32537;-0,007912548;2,15;2,15
1,31059566;0,019434176;2,37;2,37
1,28456032;0,010266072;2,85;2,85
1,25082;0,015911343;2,78;2,78
1,23973104;-0,002586465;2,36;2,36
1,22472656;-0,009950951;2,68;2,68
1,20604;-0,008270362;2,71;2,71
1,17009853;0,00152454;2,93;2,93
1,13265351;0,03012655;2,90;2,90
1,09565;0,007041733;2,90;2,90
1,0660611;-0,005858038;2,94;2,94
1,04018052;-0,016116679;2,93;2,93
1,01933;0,008326506;2,92;2,92
1,01888182;0,02103879;3,00;3,00
1,02436521;0,008514165;2,98;2,98
1,03536;0,019720291;2,90;2,90
0,99539357;0,007384145;3,00;3,00
0,96704726;-0,004923192;2,99;2,99
0,95685;-0,02543299;3,02;3,02
1,15651046;-0,00103002;3,49;3,49
1,36442008;0,036157882;3,48;3,48
1,56415;0,019304166;3,50;3,50
1,53587546;-0,005616459;3,48;3,48
1,4917797;-0,019438171;3,38;3,38
1,44065;0,012748571;3,48;3,48
1,45653857;0,017982906;3,48;3,48
1,47487656;7,51E-05;3,43;3,43
1,49636;0,027763252;3,47;3,47
